dataset,condition,strategy,n_runs,mean_accuracy,std_accuracy,ci_low,ci_high,min_accuracy,max_accuracy,best_accuracy_mean
mnist,iid_equal,fedmean,5,98.94399999999999,0.014966629547093168,98.92322298732633,98.96477701267365,98.93,98.97,98.962
mnist,iid_equal,fedmedian,5,98.886,0.03440930106817192,98.838232232238,98.93376776776199,98.83,98.93,98.904
mnist,iid_equal,fedavg,5,98.97799999999998,0.029257477676656565,98.93738410965709,99.01861589034287,98.95,99.03,98.97999999999999
mnist,iid_unequal,fedmean,5,98.968,0.03544009029333614,98.91880126738866,99.01719873261135,98.9,99.0,98.994
mnist,iid_unequal,fedmedian,5,98.586,0.08731551981176944,98.46478662620541,98.70721337379459,98.43,98.67,98.59400000000002
mnist,iid_unequal,fedavg,5,99.12,0.02280350850198321,99.08834365521918,99.15165634478083,99.1,99.16,99.13399999999999
fashion_mnist,iid_equal,fedmean,5,89.074,0.048414873747642806,89.00678938038229,89.14121061961771,89.0,89.15,89.124
fashion_mnist,iid_equal,fedmedian,5,89.048,0.13541048703848785,88.86002010803477,89.23597989196523,88.81,89.18,89.048
fashion_mnist,iid_equal,fedavg,5,89.09,0.12409673645991044,88.91772611174244,89.26227388825757,88.92,89.29,89.15
fashion_mnist,iid_unequal,fedmean,5,89.176,0.13425349157470856,88.98962627523085,89.36237372476916,89.01,89.4,89.176
fashion_mnist,iid_unequal,fedmedian,5,88.086,0.233717778527863,87.7615477089043,88.4104522910957,87.62,88.22,88.096
fashion_mnist,iid_unequal,fedavg,5,90.102,0.2471760506197934,89.75886463206729,90.44513536793272,89.81,90.52,90.102
cifar10,iid_equal,fedmean,5,62.733999999999995,0.44418914889943145,62.1173666058781,63.35063339412189,61.91,63.07,62.733999999999995
cifar10,iid_equal,fedmedian,5,61.272000000000006,0.33748481447318457,60.80349596938868,61.74050403061133,60.88,61.81,61.272000000000006
cifar10,iid_equal,fedavg,5,62.65599999999999,0.24638181751095006,62.31396720438099,62.998032795619,62.2,62.94,62.75999999999999
cifar10,iid_unequal,fedmean,5,62.94,0.24859605789312092,62.594893345945586,63.28510665405441,62.6,63.29,62.94
cifar10,iid_unequal,fedmedian,5,57.032000000000004,0.8260363188141292,55.885277752956455,58.17872224704355,55.63,58.19,57.032000000000004
cifar10,iid_unequal,fedavg,5,67.244,0.8545548548805975,66.05768767802188,68.43031232197812,65.92,68.2,67.312
