dataset,condition,strategy1,strategy2,mean1,mean2,diff,t_statistic,p_value,significant,cohens_d
mnist,iid_equal,fedavg,fedmean,98.97799999999998,98.94399999999999,0.033999999999991815,2.069174106130149,0.07232183405648164,False,1.4631270419002413
mnist,iid_equal,fedavg,fedmedian,98.97799999999998,98.886,0.09199999999998454,4.0738284734836,0.0035644683913341885,True,2.8806317389910943
mnist,iid_equal,fedmean,fedmedian,98.94399999999999,98.886,0.057999999999992724,3.091410387155942,0.014857774351231787,True,2.1859572481884966
mnist,iid_unequal,fedavg,fedmean,99.12,98.968,0.15200000000000102,7.213600767719368,9.123098133619174e-05,True,5.100786019626851
mnist,iid_unequal,fedavg,fedmedian,99.12,98.586,0.534000000000006,11.834566931651377,2.3829324860047662e-06,True,8.368302529776765
mnist,iid_unequal,fedmean,fedmedian,98.968,98.586,0.382000000000005,8.107498475580385,3.9662739522642045e-05,True,5.7328671505424875
fashion_mnist,iid_equal,fedavg,fedmean,89.09,89.074,0.016000000000005343,0.24022832541535744,0.816194593724124,False,0.1698670779342879
fashion_mnist,iid_equal,fedavg,fedmedian,89.09,89.048,0.04200000000000159,0.4573329493996713,0.6595953643421795,False,0.3233832297805518
fashion_mnist,iid_equal,fedmean,fedmedian,89.074,89.048,0.02599999999999625,0.3615997124320009,0.7270154380943465,False,0.2556896087357734
fashion_mnist,iid_unequal,fedavg,fedmean,90.102,89.176,0.9260000000000019,6.584121598932199,0.00017221592711984235,True,4.655677030761772
fashion_mnist,iid_unequal,fedavg,fedmedian,90.102,88.086,2.0160000000000053,11.852673218584497,2.3553658745263107e-06,True,8.38110560804928
fashion_mnist,iid_unequal,fedmean,fedmedian,89.176,88.086,1.0900000000000034,8.088065548492175,4.035551416307427e-05,True,5.719125996020109
cifar10,iid_equal,fedavg,fedmean,62.65599999999999,62.733999999999995,-0.07800000000000296,-0.30711993856116854,0.7665945498527467,False,-0.21716659119419812
cifar10,iid_equal,fedavg,fedmedian,62.65599999999999,61.272000000000006,1.3839999999999861,6.624360610179618,0.00016514513431187746,True,4.684130308483064
cifar10,iid_equal,fedmean,fedmedian,62.733999999999995,61.272000000000006,1.461999999999989,5.241523944882918,0.0007818419292136711,True,3.7063171251783746
cifar10,iid_unequal,fedavg,fedmean,67.244,62.94,4.304000000000002,9.672129908239544,1.0880843215627233e-05,True,6.839228646633401
cifar10,iid_unequal,fedavg,fedmedian,67.244,57.032000000000004,10.211999999999996,17.184274475632034,1.3377245914422545e-07,True,12.151117011490314
cifar10,iid_unequal,fedmean,fedmedian,62.94,57.032000000000004,5.907999999999994,13.69759510722643,7.776052099694199e-07,True,9.685662386267484
