rounds,test_accuracy,test_loss,train_accuracy,train_loss
0,8.6,2.30501694191759,,
1,47.56,1.6880422152650243,,
2,59.73,1.1665779028456813,,
3,65.33,0.9992450734677787,,
4,68.87,0.9003470591462839,,
5,71.16,0.8482970976220152,,
6,71.84,0.8081141051392966,,
7,73.78,0.7746375109821844,,
8,74.4,0.7451170442965084,,
9,75.33,0.7323238719195223,,
10,75.77,0.7119142447416775,,
11,76.47,0.6940156793632446,,
12,76.85,0.6909745963998496,,
13,77.13,0.6731565799385595,,
14,77.5,0.6634339760191524,,
15,77.75,0.6589336954176236,,
16,77.86,0.6517432927133177,,
17,78.09,0.6448625474692152,,
18,78.35,0.6337938087816817,,
19,78.82,0.6270489297545375,,
20,78.84,0.6254026047623577,,
