rounds,test_accuracy,test_loss,train_accuracy,train_loss
0,8.6,2.30501694191759,,
1,47.29,1.6705245030954623,,
2,59.73,1.1613456831572535,,
3,65.8,0.9887332438280027,,
4,68.9,0.9078229659091169,,
5,71.02,0.8528508802001088,,
6,72.4,0.8094234643652797,,
7,73.43,0.785209067427693,,
8,74.45,0.7488217667078438,,
9,75.22,0.7315098037734961,,
10,75.53,0.7181742052300669,,
11,76.31,0.7049431989368159,,
12,76.7,0.6911347751228955,,
13,76.95,0.6824153820261026,,
14,76.97,0.673697402159246,,
15,77.54,0.6582876477188195,,
16,77.71,0.6578181385993958,,
17,78.03,0.6435153755231406,,
18,78.08,0.6420026345850941,,
19,77.7,0.6431812731602702,,
20,78.47,0.6286092466725328,,
