rounds,test_accuracy,test_loss,train_accuracy,train_loss
0,8.6,2.30501694191759,,
1,43.28,1.8008819391933113,,
2,58.54,1.1987494639695262,,
3,64.61,1.0343504626149187,,
4,67.62,0.9447293626233793,,
5,70.02,0.874137165923469,,
6,72.13,0.8303867061488545,,
7,73.01,0.8012592811554003,,
8,73.92,0.7699121833799746,,
9,74.83,0.7459693820522235,,
10,74.94,0.7371444600268294,,
11,75.65,0.7146951538114883,,
12,75.82,0.7055327397185012,,
13,76.48,0.6932043011386555,,
14,77.0,0.6822497347197213,,
15,76.95,0.6729592600950418,,
16,77.17,0.6749305682726943,,
17,77.65,0.6554655168479243,,
18,77.7,0.6565777142874349,,
19,78.35,0.6434718970292673,,
20,78.54,0.6382411323225917,,
