rounds,test_accuracy,test_loss,train_accuracy,train_loss
0,8.6,2.30501694191759,,
1,37.72,1.9236446957999525,,
2,46.58,1.5346909689065367,,
3,51.04,1.4049354418398092,,
4,54.01,1.3121493167389695,,
5,56.83,1.2320112732652657,,
6,59.27,1.149683210225151,,
7,61.86,1.092922791314963,,
8,63.58,1.0455309590592552,,
9,64.96,0.9996477710172391,,
10,66.35,0.9623708476464208,,
11,67.28,0.936598929924706,,
12,68.29,0.9163908378575176,,
13,69.13,0.8897299404723195,,
14,70.05,0.8715349047328718,,
15,70.09,0.857894950305311,,
16,71.38,0.8404391625057013,,
17,71.38,0.8283582095520946,,
18,71.95,0.814045289644418,,
19,72.53,0.8040677266189465,,
20,72.98,0.7947086026302923,,
