rounds,test_accuracy,test_loss,train_accuracy,train_loss
0,8.6,2.30501694191759,,
1,34.16,1.9872786739763741,,
2,44.36,1.5932624945625329,,
3,48.07,1.4536916699272375,,
4,51.33,1.3629316405747265,,
5,53.86,1.2993198793155316,,
6,56.02,1.23739925969523,,
7,58.16,1.1785389015468926,,
8,60.09,1.1271664526896736,,
9,61.92,1.0833809036797228,,
10,63.22,1.0508365775830448,,
11,64.02,1.0190032469197965,,
12,65.6,0.9819973354903273,,
13,66.35,0.9585053989300713,,
14,67.33,0.9366890395792148,,
15,67.95,0.9177097489658635,,
16,69.0,0.8937104244392139,,
17,69.23,0.8826673623091116,,
18,69.92,0.8670069807634567,,
19,70.47,0.85302221308501,,
20,70.97,0.8387850918137608,,
