rounds,test_accuracy,test_loss,train_accuracy,train_loss
0,8.6,2.30501694191759,,
1,28.8,2.076698871085438,,
2,41.52,1.6976335341938007,,
3,45.29,1.5435989276288797,,
4,48.38,1.4495576029768387,,
5,50.73,1.3913619832489819,,
6,52.68,1.3294125656350353,,
7,54.51,1.2785205220262084,,
8,56.03,1.2372349715842226,,
9,57.72,1.198455300194006,,
10,59.34,1.1547958113895818,,
11,60.54,1.1233457561118154,,
12,61.75,1.0889957764278204,,
13,62.93,1.0586636108331406,,
14,63.93,1.0358798435320868,,
15,64.97,1.0057011654201788,,
16,65.84,0.9854834944295426,,
17,66.89,0.9638955977778084,,
18,67.14,0.9456192058877061,,
19,67.72,0.9313106840601364,,
20,68.27,0.9170738940421765,,
