rounds,test_accuracy,test_loss,train_accuracy,train_loss
0,8.6,2.30501694191759,,
1,34.22,1.9106863748532135,,
2,43.49,1.6003963547392774,,
3,47.98,1.4560529667729387,,
4,50.27,1.393225079146437,,
5,52.72,1.3284957597430902,,
6,54.52,1.2764206941897116,,
7,56.3,1.2251575665352064,,
8,58.19,1.1765197803037235,,
9,59.58,1.143738421769188,,
10,61.83,1.0905806108023792,,
11,62.08,1.0742837748588465,,
12,64.57,1.0247473992859593,,
13,65.29,0.991555456917126,,
14,66.32,0.9692036869426885,,
15,66.84,0.9462919133349349,,
16,67.46,0.923401688424924,,
17,68.61,0.9002732208932931,,
18,68.69,0.8915467425085866,,
19,69.41,0.8758628614032611,,
20,70.25,0.8586063501172172,,
21,70.52,0.8471593363597371,,
22,71.09,0.8366976129932525,,
23,71.31,0.833455966589169,,
24,71.98,0.820899429983986,,
25,72.33,0.8093290455615558,,
26,72.72,0.7943053117956216,,
27,73.08,0.7869165549263025,,
28,73.51,0.7785269320011139,,
29,73.63,0.7754639353805457,,
30,73.93,0.770369796326366,,
31,74.27,0.7611071204605956,,
32,74.51,0.7516990873379449,,
33,74.73,0.7473662343268959,,
34,74.96,0.7432500269656745,,
35,75.12,0.7408553494241672,,
36,75.38,0.7351842568324397,,
37,75.38,0.7276117518401375,,
38,75.82,0.7212324810865969,,
39,76.12,0.7173464582941402,,
40,76.1,0.7131363372928419,,
41,76.26,0.706889385375352,,
42,76.29,0.7062996326924894,,
43,76.46,0.7007025651181468,,
44,76.38,0.698869029173074,,
45,76.9,0.6934007488119717,,
46,76.59,0.6887538876777259,,
47,76.61,0.6888727172971153,,
48,76.77,0.6835027627480297,,
49,77.2,0.679372069268181,,
50,77.07,0.6776494052939521,,
