rounds,test_accuracy,test_loss,train_accuracy,train_loss
0,8.6,2.30501694191759,,
1,34.05,1.9343326251727704,,
2,43.65,1.5991572274948462,,
3,47.72,1.4680471633569883,,
4,50.38,1.3895144557800536,,
5,53.13,1.3239234727792466,,
6,55.32,1.264485298635099,,
7,57.48,1.2091813792055026,,
8,59.45,1.152355639127116,,
9,60.99,1.117541057804522,,
10,62.19,1.075499859480812,,
11,63.8,1.0369909000092041,,
12,64.89,1.0056556882187961,,
13,65.05,0.9904673522272811,,
14,66.46,0.9597472471360582,,
15,67.32,0.9269796545132281,,
16,68.14,0.9107126628819365,,
17,68.62,0.89213760325703,,
18,69.33,0.88489246682618,,
19,69.82,0.8656655038698032,,
20,70.4,0.8558838328423972,,
21,70.93,0.8409533608264436,,
22,71.43,0.8333979023340792,,
23,72.23,0.8175113463934999,,
24,72.59,0.8080837938922663,,
25,73.03,0.8032141519240297,,
26,73.07,0.7901340770645263,,
27,73.5,0.7812105111611156,,
28,73.81,0.7770352345495559,,
29,74.12,0.7666077785217724,,
30,74.4,0.7565990198915378,,
31,74.66,0.7546342992173216,,
32,74.49,0.7465193125005728,,
33,74.9,0.7431806416366808,,
34,75.31,0.7321590134701409,,
35,75.24,0.7283030926419524,,
36,75.73,0.7262621007788296,,
37,75.59,0.7239402672543693,,
38,76.09,0.7176641178207276,,
39,76.05,0.712749908478877,,
40,76.3,0.707403436065101,,
41,76.35,0.7019059033439563,,
42,76.61,0.6983108351977108,,
43,76.68,0.6959569017155863,,
44,76.71,0.6928323536349562,,
45,76.63,0.6915330549303335,,
46,76.7,0.6887609447343662,,
47,77.11,0.6809206611622637,,
48,77.09,0.6805174371685845,,
49,76.96,0.6798749037634451,,
50,77.17,0.6756337478804512,,
