rounds,test_accuracy,test_loss,train_accuracy,train_loss
0,8.6,2.30501694191759,,
1,31.56,2.0148539257506592,,
2,42.4,1.650196736993881,,
3,46.55,1.513304200416175,,
4,49.82,1.4286384830078758,,
5,51.22,1.3556714728236579,,
6,53.41,1.3083909256770587,,
7,55.38,1.249621160875875,,
8,57.42,1.2093896789672656,,
9,58.71,1.1669910268280834,,
10,60.71,1.1207777336001776,,
11,62.18,1.0931406485767792,,
12,63.21,1.052030107274223,,
13,64.5,1.0318607295663973,,
14,65.55,1.0016307720361046,,
15,66.06,0.9754016138494205,,
16,66.96,0.9536771525780614,,
17,67.95,0.9336189892345343,,
18,68.23,0.9167529542606098,,
19,68.88,0.9053725015621977,,
20,69.44,0.886651432837922,,
21,69.82,0.878294615414196,,
22,70.12,0.8659420791335,,
23,70.54,0.8548498597388832,,
24,70.7,0.8470296877832078,,
25,70.64,0.8440086834918196,,
26,71.65,0.8300555291267249,,
27,71.68,0.8207944291658675,,
28,72.11,0.8155569985461312,,
29,72.2,0.8052462725022349,,
30,72.91,0.7949910625672569,,
31,72.96,0.7913750593845075,,
32,73.26,0.7863141830546406,,
33,73.61,0.778174031656771,,
34,73.44,0.7775293922843263,,
35,73.9,0.7652975482681689,,
36,74.01,0.7612380981445312,,
37,74.05,0.7580011002362346,,
38,74.21,0.7519814981439243,,
39,74.42,0.7480421802296806,,
40,74.42,0.7466355561257932,,
41,74.51,0.7400393969715594,,
42,74.86,0.7354669578540058,,
43,74.92,0.7306618210606681,,
44,74.84,0.7309585647841993,,
45,75.16,0.7217193785757302,,
46,75.28,0.718988936930038,,
47,75.23,0.719838044371087,,
48,75.63,0.7127514315394167,,
49,75.5,0.7132528838448631,,
50,75.9,0.7070322712770285,,
