rounds,test_accuracy,test_loss,train_accuracy,train_loss
0,8.6,2.30501694191759,,
1,37.95,1.943920276035516,,
2,46.76,1.5271337295111758,,
3,50.97,1.3862721299211058,,
4,53.94,1.2975765866593432,,
5,57.02,1.215704212935207,,
6,59.26,1.1543397579711085,,
7,61.49,1.0924239465222954,,
8,63.45,1.0436701285191619,,
9,65.24,0.9987245753359871,,
10,66.2,0.9642698097343262,,
11,67.37,0.9370899264233562,,
12,66.85,0.953150156206978,,
13,69.14,0.8949231868163465,,
14,69.78,0.8718344423527153,,
15,70.68,0.8544442868842104,,
16,71.21,0.8373439614765179,,
17,71.77,0.8242971383915922,,
18,72.05,0.8125398312323391,,
19,72.5,0.8027214579307995,,
20,73.2,0.7911655811456065,,
21,73.11,0.7839437159486472,,
22,73.6,0.7732748868175969,,
23,74.07,0.7598136139753908,,
24,74.36,0.7550946762577032,,
25,74.68,0.7483397982181451,,
26,74.67,0.7387720245522813,,
27,75.26,0.7323175327846417,,
28,75.57,0.7278744831633644,,
29,75.46,0.7189273337205759,,
30,75.96,0.7128750765666413,,
31,75.73,0.7133393321936123,,
32,76.17,0.7070521198141689,,
33,76.27,0.7029247650513634,,
34,75.87,0.7059474969252991,,
35,76.37,0.693295269585646,,
36,76.58,0.6855418283623248,,
37,76.51,0.6856530391560576,,
38,76.66,0.6808311374614033,,
39,76.82,0.6743725586337403,,
40,76.48,0.6847267546497595,,
41,76.88,0.6715505338800601,,
42,77.31,0.6687236670583201,,
43,77.23,0.6662790077372481,,
44,77.6,0.6602520387584028,,
45,77.48,0.6613817705799596,,
46,77.62,0.6577868275463391,,
47,77.79,0.6553451864007181,,
48,77.72,0.6557747521720374,,
49,78.06,0.6516776569068622,,
50,77.68,0.651654130496537,,
