rounds,test_accuracy,test_loss,train_accuracy,train_loss
0,8.6,2.30501694191759,,
1,29.73,2.056445981366947,,
2,42.02,1.6586996412124877,,
3,45.44,1.5369601619129363,,
4,47.75,1.447839989829749,,
5,50.26,1.4001567447528291,,
6,51.56,1.342280913465701,,
7,53.41,1.2886639686819084,,
8,54.82,1.2449895175882042,,
9,57.37,1.214909324059471,,
10,58.15,1.175857622783405,,
11,59.74,1.1531675088519868,,
12,61.47,1.0961826689327105,,
13,61.43,1.0919661721863305,,
14,63.3,1.0449153162039126,,
15,64.52,1.0160485052833923,,
16,65.2,0.9928356868009598,,
17,65.95,0.9714531576671539,,
18,66.96,0.9513527577677474,,
19,67.25,0.9377799940566285,,
20,67.5,0.9304436020576916,,
21,69.06,0.9053349136925353,,
22,68.78,0.8935156144654027,,
23,69.25,0.8882821173713611,,
24,69.4,0.884071079972453,,
25,70.34,0.8704620515957427,,
26,70.9,0.8544142167217815,,
27,71.16,0.848241006890044,,
28,71.54,0.8428497033568617,,
29,71.68,0.831959325570268,,
30,72.12,0.8232548093072142,,
31,72.25,0.8150976911520424,,
32,72.44,0.8176951782581524,,
33,72.84,0.8057733086732249,,
34,73.16,0.7992738679575082,,
35,73.13,0.7945438811002067,,
36,73.37,0.7873579898771768,,
37,73.47,0.7864497162092227,,
38,73.86,0.7724251362462394,,
39,73.72,0.7768299078789002,,
40,73.81,0.7704496493164342,,
41,74.4,0.7640477364626936,,
42,74.51,0.7643449414081086,,
43,74.86,0.7545819352990903,,
44,75.08,0.754909265822115,,
45,74.52,0.7540297498718237,,
46,74.91,0.7495161054042963,,
47,75.1,0.7451371952843743,,
48,75.25,0.737517640232659,,
49,75.22,0.736799552703437,,
50,75.23,0.7352124098390816,,
