round,FedAvg_test_acc,FedAvg_test_loss,FedMean_test_acc,FedMean_test_loss,FedMedian_test_acc,FedMedian_test_loss
0,8.6,2.30501694191759,8.6,2.30501694191759,8.6,2.30501694191759
1,35.45,1.9522632539462739,35.17,1.953173987019938,31.72,2.026016869103185
2,43.95,1.5900213977399345,43.86,1.5924133797423146,42.23,1.6401710117967745
3,48.1,1.4626833029067554,47.49,1.4728373030123239,46.44,1.508295875768692
4,51.09,1.3806369841670076,50.84,1.3885567553888876,49.39,1.4293412381467727
5,53.13,1.3162971020887455,52.81,1.325474382208559,51.6,1.3598764310248743
6,55.16,1.255421624777797,55.01,1.2646123763090504,53.22,1.3063616769763227
7,57.53,1.201236039685746,57.29,1.207908748247372,55.45,1.2539543092441254
8,59.31,1.1541190604432323,59.14,1.157594600424599,57.35,1.208071794372778
9,61.1,1.1116498956284202,60.91,1.1101872593450088,59.14,1.160018138992139
10,62.73,1.0665644896677888,62.32,1.0768563454143536,60.62,1.125221902950884
11,64.13,1.0319828444395582,63.77,1.0395020842552185,61.84,1.0884992493608128
12,65.11,0.9970064558350621,64.95,1.0063023045421027,63.13,1.0512721867987904
13,65.87,0.9724315734336171,66.08,0.9825616258020979,64.24,1.0211470018560513
14,66.45,0.95191302390906,66.41,0.9593508486359265,65.04,1.003567647057981
15,67.49,0.9243271665070385,67.38,0.9346051577942821,66.01,0.970529559511727
16,68.42,0.9097071821316363,67.9,0.9137007970208177,67.02,0.9562127414983682
17,69.07,0.8892339057625293,68.65,0.8954759903799612,67.33,0.9375612783355834
18,69.33,0.8768188257377368,69.46,0.8784227619727198,68.05,0.9202762454652939
19,70.14,0.8616486513576569,69.93,0.8649218106231751,68.97,0.8974228093799311
20,70.69,0.8470924401435608,70.54,0.8551633132341951,69.47,0.8832163586022374
21,71.57,0.8343224826331337,70.87,0.8433823600744668,70.12,0.8707024293204847
22,71.82,0.8255739848072917,71.4,0.8297377131617488,70.34,0.8610739019541694
23,72.49,0.8127208903384285,72.15,0.816832576696865,70.7,0.847969038513141
24,72.66,0.8048980105608797,72.47,0.811437190721591,70.82,0.8444260014131808
25,73.03,0.7942579499067971,72.71,0.8013015818862489,71.59,0.8294209296139665
26,73.51,0.7854265931505746,73.09,0.7903612335078632,71.58,0.8249093872099258
27,73.72,0.7778961373784672,73.13,0.7852767300301086,72.02,0.8120404365725411
28,73.73,0.7723820786506604,73.73,0.7781195598669326,72.31,0.8091898747145558
29,74.0,0.7672511621976432,74.06,0.7689721005412337,72.72,0.799316902415821
30,74.34,0.7557431003346611,74.0,0.7642848736371476,72.86,0.791879091304712
31,74.38,0.7509679476293131,74.55,0.7545293987559053,73.21,0.7858490057456227
32,74.75,0.7466345854079761,74.64,0.7478528058947846,73.24,0.7796772109053005
33,74.9,0.7402224196031832,74.95,0.7433426306841854,73.78,0.773037081518874
34,74.87,0.7357726687440476,75.18,0.7374419771825163,73.75,0.7663528890655444
35,75.13,0.732873517769975,75.15,0.7328228301133591,73.77,0.7636743061268292
36,75.34,0.7255743286861017,75.31,0.7307625756667445,74.23,0.754794604862079
37,75.65,0.7179369726500953,75.65,0.7236212180635799,74.33,0.7495959648689904
38,75.86,0.7169302460103751,75.62,0.7174380660628359,74.37,0.7429459317804525
39,75.98,0.711119576098439,75.65,0.716842096929733,74.85,0.7372518656924129
40,76.05,0.7084940520528787,76.06,0.7094798327063601,75.14,0.7336682873412063
41,76.4,0.7023301622547662,76.22,0.7065658912110252,75.12,0.7329813315274235
42,76.33,0.6990401279240751,76.44,0.7023195710997231,75.12,0.7276425040758456
43,76.37,0.6957370142776745,76.65,0.6992339852709359,75.53,0.7248749835803486
44,76.44,0.6935202828801859,76.49,0.6972805689603757,75.69,0.7205653660023175
45,76.59,0.6909855388985655,76.95,0.690365014556117,75.87,0.7181448068100804
46,76.85,0.6868086011645893,76.96,0.6852773298470738,75.74,0.7174794076445004
47,76.88,0.6838270561001933,77.01,0.6847770825361672,76.09,0.7089436538874532
48,76.89,0.6809508117814415,77.21,0.6801367788173901,76.01,0.7101447265654707
49,77.26,0.6766469221526441,77.31,0.6758221142208234,76.14,0.7066493487110534
50,77.04,0.6770045232182493,77.47,0.6769837231967396,76.49,0.7037591445750703
