rounds,test_accuracy,test_loss,train_accuracy,train_loss
0,8.6,2.30501694191759,,
1,35.45,1.9522632539462739,,
2,43.95,1.5900213977399345,,
3,48.1,1.4626833029067554,,
4,51.09,1.3806369841670076,,
5,53.13,1.3162971020887455,,
6,55.16,1.255421624777797,,
7,57.53,1.201236039685746,,
8,59.31,1.1541190604432323,,
9,61.1,1.1116498956284202,,
10,62.73,1.0665644896677888,,
11,64.13,1.0319828444395582,,
12,65.11,0.9970064558350621,,
13,65.87,0.9724315734336171,,
14,66.45,0.95191302390906,,
15,67.49,0.9243271665070385,,
16,68.42,0.9097071821316363,,
17,69.07,0.8892339057625293,,
18,69.33,0.8768188257377368,,
19,70.14,0.8616486513576569,,
20,70.69,0.8470924401435608,,
21,71.57,0.8343224826331337,,
22,71.82,0.8255739848072917,,
23,72.49,0.8127208903384285,,
24,72.66,0.8048980105608797,,
25,73.03,0.7942579499067971,,
26,73.51,0.7854265931505746,,
27,73.72,0.7778961373784672,,
28,73.73,0.7723820786506604,,
29,74.0,0.7672511621976432,,
30,74.34,0.7557431003346611,,
31,74.38,0.7509679476293131,,
32,74.75,0.7466345854079761,,
33,74.9,0.7402224196031832,,
34,74.87,0.7357726687440476,,
35,75.13,0.732873517769975,,
36,75.34,0.7255743286861017,,
37,75.65,0.7179369726500953,,
38,75.86,0.7169302460103751,,
39,75.98,0.711119576098439,,
40,76.05,0.7084940520528787,,
41,76.4,0.7023301622547662,,
42,76.33,0.6990401279240751,,
43,76.37,0.6957370142776745,,
44,76.44,0.6935202828801859,,
45,76.59,0.6909855388985655,,
46,76.85,0.6868086011645893,,
47,76.88,0.6838270561001933,,
48,76.89,0.6809508117814415,,
49,77.26,0.6766469221526441,,
50,77.04,0.6770045232182493,,
