rounds,test_accuracy,test_loss,train_accuracy,train_loss
0,8.6,2.30501694191759,,
1,35.17,1.953173987019938,,
2,43.86,1.5924133797423146,,
3,47.49,1.4728373030123239,,
4,50.84,1.3885567553888876,,
5,52.81,1.325474382208559,,
6,55.01,1.2646123763090504,,
7,57.29,1.207908748247372,,
8,59.14,1.157594600424599,,
9,60.91,1.1101872593450088,,
10,62.32,1.0768563454143536,,
11,63.77,1.0395020842552185,,
12,64.95,1.0063023045421027,,
13,66.08,0.9825616258020979,,
14,66.41,0.9593508486359265,,
15,67.38,0.9346051577942821,,
16,67.9,0.9137007970208177,,
17,68.65,0.8954759903799612,,
18,69.46,0.8784227619727198,,
19,69.93,0.8649218106231751,,
20,70.54,0.8551633132341951,,
21,70.87,0.8433823600744668,,
22,71.4,0.8297377131617488,,
23,72.15,0.816832576696865,,
24,72.47,0.811437190721591,,
25,72.71,0.8013015818862489,,
26,73.09,0.7903612335078632,,
27,73.13,0.7852767300301086,,
28,73.73,0.7781195598669326,,
29,74.06,0.7689721005412337,,
30,74.0,0.7642848736371476,,
31,74.55,0.7545293987559053,,
32,74.64,0.7478528058947846,,
33,74.95,0.7433426306841854,,
34,75.18,0.7374419771825163,,
35,75.15,0.7328228301133591,,
36,75.31,0.7307625756667445,,
37,75.65,0.7236212180635799,,
38,75.62,0.7174380660628359,,
39,75.65,0.716842096929733,,
40,76.06,0.7094798327063601,,
41,76.22,0.7065658912110252,,
42,76.44,0.7023195710997231,,
43,76.65,0.6992339852709359,,
44,76.49,0.6972805689603757,,
45,76.95,0.690365014556117,,
46,76.96,0.6852773298470738,,
47,77.01,0.6847770825361672,,
48,77.21,0.6801367788173901,,
49,77.31,0.6758221142208234,,
50,77.47,0.6769837231967396,,
