rounds,test_accuracy,test_loss,train_accuracy,train_loss
0,8.6,2.30501694191759,,
1,31.72,2.026016869103185,,
2,42.23,1.6401710117967745,,
3,46.44,1.508295875768692,,
4,49.39,1.4293412381467727,,
5,51.6,1.3598764310248743,,
6,53.22,1.3063616769763227,,
7,55.45,1.2539543092441254,,
8,57.35,1.208071794372778,,
9,59.14,1.160018138992139,,
10,60.62,1.125221902950884,,
11,61.84,1.0884992493608128,,
12,63.13,1.0512721867987904,,
13,64.24,1.0211470018560513,,
14,65.04,1.003567647057981,,
15,66.01,0.970529559511727,,
16,67.02,0.9562127414983682,,
17,67.33,0.9375612783355834,,
18,68.05,0.9202762454652939,,
19,68.97,0.8974228093799311,,
20,69.47,0.8832163586022374,,
21,70.12,0.8707024293204847,,
22,70.34,0.8610739019541694,,
23,70.7,0.847969038513141,,
24,70.82,0.8444260014131808,,
25,71.59,0.8294209296139665,,
26,71.58,0.8249093872099258,,
27,72.02,0.8120404365725411,,
28,72.31,0.8091898747145558,,
29,72.72,0.799316902415821,,
30,72.86,0.791879091304712,,
31,73.21,0.7858490057456227,,
32,73.24,0.7796772109053005,,
33,73.78,0.773037081518874,,
34,73.75,0.7663528890655444,,
35,73.77,0.7636743061268292,,
36,74.23,0.754794604862079,,
37,74.33,0.7495959648689904,,
38,74.37,0.7429459317804525,,
39,74.85,0.7372518656924129,,
40,75.14,0.7336682873412063,,
41,75.12,0.7329813315274235,,
42,75.12,0.7276425040758456,,
43,75.53,0.7248749835803486,,
44,75.69,0.7205653660023175,,
45,75.87,0.7181448068100804,,
46,75.74,0.7174794076445004,,
47,76.09,0.7089436538874532,,
48,76.01,0.7101447265654707,,
49,76.14,0.7066493487110534,,
50,76.49,0.7037591445750703,,
