class_imbalance,heterogeneity_kl,rounds,test_accuracy,test_loss,train_accuracy,train_loss
0.20253484894555873,1.3950486880500963,0,8.6,2.30501694191759,,
,,0,13.27,2.296759270250607,,
,,1,21.21,2.2487574233033785,,
,,2,24.95,2.170666106592733,,
,,3,26.3,2.094765884426836,,
,,4,27.7,2.033756582881696,,
,,5,30.33,1.9662488356185035,,
,,6,29.2,1.9158552660347936,,
,,7,31.46,1.8675705388712045,,
,,8,31.81,1.8270541242898082,,
,,9,32.45,1.7871717648765149,,
,,10,33.68,1.7545745418475458,,
,,11,34.82,1.7191463411806491,,
,,12,36.35,1.6904279111673275,,
,,13,37.62,1.6683239342686467,,
,,14,38.91,1.6385243963509704,,
,,15,40.69,1.6175008349525282,,
,,16,39.96,1.609934023774851,,
,,17,43.0,1.5734336863691434,,
,,18,43.47,1.554987643092585,,
,,19,43.72,1.5469715564776534,,
,,20,,,,
