class_imbalance,heterogeneity_kl,rounds,test_accuracy,test_loss,train_accuracy,train_loss
0.11601136470454662,0.5898461469260075,0,8.6,2.30501694191759,,
,,0,8.6,2.30501694191759,,
,,1,8.6,2.30501694191759,,
,,2,8.6,2.30501694191759,,
,,3,8.6,2.30501694191759,,
,,4,8.6,2.30501694191759,,
,,5,8.6,2.30501694191759,,
,,6,8.6,2.30501694191759,,
,,7,8.6,2.30501694191759,,
,,8,8.6,2.30501694191759,,
,,9,8.6,2.30501694191759,,
,,10,8.6,2.30501694191759,,
,,11,8.6,2.30501694191759,,
,,12,8.6,2.30501694191759,,
,,13,8.6,2.30501694191759,,
,,14,8.6,2.30501694191759,,
,,15,8.6,2.30501694191759,,
,,16,8.6,2.30501694191759,,
,,17,8.6,2.30501694191759,,
,,18,8.6,2.30501694191759,,
,,19,8.6,2.30501694191759,,
,,20,,,,
