class_imbalance,heterogeneity_kl,rounds,test_accuracy,test_loss,train_accuracy,train_loss
0.11601136470454662,0.5898461469260075,0,8.6,2.30501694191759,,
,,0,16.4,2.5890803573230583,,
,,1,17.66,2.478960355630698,,
,,2,20.54,2.6810359650145705,,
,,3,22.05,2.6166432657942607,,
,,4,21.76,2.660961581114382,,
,,5,21.71,2.990050905428755,,
,,6,20.09,2.501365358075395,,
,,7,20.93,2.1739972151887303,,
,,8,24.74,2.465011639336047,,
,,9,24.83,2.566854999469111,,
,,10,26.03,2.5587870792839853,,
,,11,27.13,2.6081101052677287,,
,,12,27.23,2.7313125087811163,,
,,13,26.69,2.770463439222342,,
,,14,26.65,2.8834824794397567,,
,,15,24.83,2.370425709139425,,
,,16,23.29,2.2182770666603844,,
,,17,21.96,2.8236342759939808,,
,,18,29.86,2.2246314317654496,,
,,19,31.93,2.609427918260471,,
,,20,,,,
