class_imbalance,heterogeneity_kl,rounds,test_accuracy,test_loss,train_accuracy,train_loss
0.1287769553618197,0.7475279251067466,0,8.6,2.305016929730059,,
,,0,31.38,2.1391419625510806,,
,,1,37.16,1.7616968695728923,,
,,2,42.84,1.5838303063243342,,
,,3,46.51,1.457953898289714,,
,,4,48.63,1.3946891341346521,,
,,5,51.65,1.3319151904255437,,
,,6,51.92,1.2815176345669805,,
,,7,53.83,1.2387227073264198,,
,,8,55.82,1.1906322747373734,,
,,9,58.18,1.1450752096054273,,
,,10,59.05,1.116132789716934,,
,,11,60.64,1.0765271123986655,,
,,12,61.73,1.063569118420537,,
,,13,62.35,1.0448364495469358,,
,,14,63.37,1.0273269513925425,,
,,15,62.51,1.0236600700277871,,
,,16,64.96,0.9931892891661428,,
,,17,64.61,0.9938409482709135,,
,,18,65.54,0.9658721824423574,,
,,19,65.97,0.9584394213490592,,
,,20,66.09,0.9561473178787353,,
,,21,65.77,0.9460685879658586,,
,,22,67.6,0.9165006790298242,,
,,23,66.63,0.932878754009454,,
,,24,67.27,0.9134240557972234,,
,,25,67.23,0.9146365538572732,,
,,26,68.7,0.8905975991925492,,
,,27,68.3,0.896302276145155,,
,,28,69.33,0.8755860171569422,,
,,29,68.65,0.885959719221432,,
,,30,69.92,0.8563513782458564,,
,,31,69.18,0.8741065180911043,,
,,32,70.26,0.8505298836162677,,
,,33,70.12,0.8555892006086465,,
,,34,69.8,0.8567877675588138,,
,,35,71.03,0.836776402049933,,
,,36,70.82,0.8294136545147759,,
,,37,70.78,0.8304725322670068,,
,,38,70.92,0.8289791485562492,,
,,39,71.23,0.8233793950118957,,
,,40,71.29,0.8223786562585983,,
,,41,71.82,0.8086920148267532,,
,,42,71.95,0.8021858298359588,,
,,43,72.47,0.7946862575535576,,
,,44,72.67,0.7873972307759732,,
,,45,72.55,0.7876535354140467,,
,,46,72.7,0.7807303945096536,,
,,47,72.9,0.7821372801693864,,
,,48,72.93,0.7770688756586264,,
,,49,72.61,0.7795776523911534,,
,,50,,,,
