class_imbalance,heterogeneity_kl,rounds,test_accuracy,test_loss,train_accuracy,train_loss
0.1287769553618197,0.7475279251067466,0,8.6,2.305016929730059,,
,,0,22.26,2.2606094789962037,,
,,1,29.69,1.95871274730268,,
,,2,34.73,1.7555031281309768,,
,,3,38.47,1.674927238839122,,
,,4,41.16,1.5859114365836682,,
,,5,44.32,1.526250250042437,,
,,6,46.14,1.4754984401666318,,
,,7,46.95,1.417096054972932,,
,,8,48.56,1.3907139263214015,,
,,9,49.36,1.3541542967668356,,
,,10,51.29,1.3173378007099652,,
,,11,52.19,1.2862443522142526,,
,,12,53.6,1.2502983088691395,,
,,13,54.47,1.2200151986588303,,
,,14,55.83,1.202063327780166,,
,,15,56.93,1.1774239102110695,,
,,16,55.82,1.1826405005333143,,
,,17,58.86,1.1311451747013739,,
,,18,59.96,1.1028260184933965,,
,,19,60.63,1.0938436815533013,,
,,20,61.42,1.0744877229102503,,
,,21,62.06,1.056063159014851,,
,,22,62.63,1.0434173377938927,,
,,23,62.62,1.03471788278403,,
,,24,63.28,1.019840823004421,,
,,25,63.6,1.0159039990589642,,
,,26,64.09,1.0043727346121694,,
,,27,63.66,1.0072777895881726,,
,,28,64.86,0.9867812568387284,,
,,29,65.99,0.9581617118832403,,
,,30,66.05,0.9714505205900905,,
,,31,65.73,0.9687485091221599,,
,,32,66.04,0.946589742986539,,
,,33,66.42,0.9467178796426937,,
,,34,66.74,0.9415319042083935,,
,,35,67.35,0.9173556481496975,,
,,36,67.85,0.9071291262349381,,
,,37,67.32,0.9159177585531728,,
,,38,68.09,0.9099559349754748,,
,,39,67.19,0.9152550927747172,,
,,40,68.32,0.897402336612677,,
,,41,68.0,0.9102234891809213,,
,,42,68.41,0.8898857545357542,,
,,43,68.32,0.8923682776122047,,
,,44,67.85,0.9061318755911562,,
,,45,69.66,0.8643746269396699,,
,,46,69.83,0.8590883531699927,,
,,47,69.26,0.867831908951933,,
,,48,69.18,0.8664729078166401,,
,,49,70.26,0.8441361648777422,,
,,50,,,,
