class_imbalance,heterogeneity_kl,rounds,test_accuracy,test_loss,train_accuracy,train_loss
0.1287769553618197,0.7475279251067466,0,8.6,2.305016929730059,,
,,0,8.6,2.305016929730059,,
,,1,8.6,2.305016929730059,,
,,2,8.6,2.305016929730059,,
,,3,8.6,2.305016929730059,,
,,4,8.6,2.305016929730059,,
,,5,8.6,2.305016929730059,,
,,6,8.6,2.305016929730059,,
,,7,8.6,2.305016929730059,,
,,8,8.6,2.305016929730059,,
,,9,8.6,2.305016929730059,,
,,10,8.6,2.305016929730059,,
,,11,8.6,2.305016929730059,,
,,12,8.6,2.305016929730059,,
,,13,8.6,2.305016929730059,,
,,14,8.6,2.305016929730059,,
,,15,8.6,2.305016929730059,,
,,16,8.6,2.305016929730059,,
,,17,8.6,2.305016929730059,,
,,18,8.6,2.305016929730059,,
,,19,8.6,2.305016929730059,,
,,20,8.6,2.305016929730059,,
,,21,8.6,2.305016929730059,,
,,22,8.6,2.305016929730059,,
,,23,8.6,2.305016929730059,,
,,24,8.6,2.305016929730059,,
,,25,8.6,2.305016929730059,,
,,26,8.6,2.305016929730059,,
,,27,8.6,2.305016929730059,,
,,28,8.6,2.305016929730059,,
,,29,8.6,2.305016929730059,,
,,30,8.6,2.305016929730059,,
,,31,8.6,2.305016929730059,,
,,32,8.6,2.305016929730059,,
,,33,8.6,2.305016929730059,,
,,34,8.6,2.305016929730059,,
,,35,8.6,2.305016929730059,,
,,36,8.6,2.305016929730059,,
,,37,8.6,2.305016929730059,,
,,38,8.6,2.305016929730059,,
,,39,8.6,2.305016929730059,,
,,40,8.6,2.305016929730059,,
,,41,8.6,2.305016929730059,,
,,42,8.6,2.305016929730059,,
,,43,8.6,2.305016929730059,,
,,44,8.6,2.305016929730059,,
,,45,8.6,2.305016929730059,,
,,46,8.6,2.305016929730059,,
,,47,8.6,2.305016929730059,,
,,48,8.6,2.305016929730059,,
,,49,8.6,2.305016929730059,,
,,50,,,,
