class_imbalance,heterogeneity_kl,rounds,test_accuracy,test_loss,train_accuracy,train_loss
0.0831182520698999,0.3330350451797084,0,8.6,2.30501694191759,,
,,0,31.98,2.072712998039806,,
,,1,43.36,1.665775839132242,,
,,2,47.44,1.489031752839256,,
,,3,49.69,1.410135552144279,,
,,4,52.32,1.3420199810887297,,
,,5,55.02,1.2668560882345936,,
,,6,56.93,1.2089176829249715,,
,,7,58.84,1.1767222247184657,,
,,8,60.11,1.1272280787507567,,
,,9,61.87,1.0916023437207498,,
,,10,62.98,1.0522577092289545,,
,,11,64.24,1.0164741858506736,,
,,12,65.2,0.9928135113975111,,
,,13,65.77,0.9737564091103527,,
,,14,66.82,0.9492063926050838,,
,,15,67.2,0.9313079368192166,,
,,16,67.76,0.912951725454757,,
,,17,68.5,0.8957807349320799,,
,,18,69.04,0.8826412485239986,,
,,19,69.56,0.8670110129319821,,
,,20,,,,
