attack_type,class_imbalance,heterogeneity_kl,num_byzantine,rounds,test_accuracy,test_loss,train_accuracy,train_loss
none,0.11601136470454662,0.5898461469260075,10,0,11.42,2.305267438340111,,
,,,,0,32.22,2.0763302740578453,,
,,,,1,42.68,1.666407605710502,,
,,,,2,46.6,1.4920227740900205,,
,,,,3,49.19,1.407533201927575,,
,,,,4,51.67,1.3440288055819063,,
,,,,5,53.97,1.285945010451844,,
,,,,6,56.15,1.2258104451548177,,
,,,,7,57.94,1.17655982110447,,
,,,,8,59.39,1.133529281654297,,
,,,,9,60.4,1.1084899763329723,,
,,,,10,61.83,1.0680742109545505,,
,,,,11,62.55,1.0418048428651243,,
,,,,12,63.67,1.0233756033376382,,
,,,,13,64.1,1.0015914400164692,,
,,,,14,65.2,0.9783897180907642,,
,,,,15,65.92,0.9575537761179403,,
,,,,16,66.55,0.9455224961137619,,
,,,,17,67.11,0.9334622381594234,,
,,,,18,67.59,0.916340813183556,,
,,,,19,67.74,0.9100403068735957,,
,,,,20,68.62,0.8962282775499569,,
,,,,21,69.22,0.8804351135183828,,
,,,,22,69.48,0.8683000931534143,,
,,,,23,69.85,0.8617006710733468,,
,,,,24,70.03,0.8569602077951828,,
,,,,25,70.3,0.8481958650361997,,
,,,,26,70.85,0.8356132259764991,,
,,,,27,71.09,0.8276710390282896,,
,,,,28,71.25,0.8255951570245785,,
,,,,29,71.62,0.8180790373121207,,
,,,,30,71.77,0.8115180317586222,,
,,,,31,71.71,0.8123299282389327,,
,,,,32,72.17,0.7999325652663319,,
,,,,33,72.5,0.7968643593331115,,
,,,,34,72.35,0.7975006083520456,,
,,,,35,72.62,0.7877936790735958,,
,,,,36,73.02,0.7835957757390726,,
,,,,37,73.28,0.7741380739516724,,
,,,,38,73.25,0.7730566353653185,,
,,,,39,73.34,0.7687774943277097,,
,,,,40,73.51,0.7664202053706867,,
,,,,41,73.71,0.7599477125242495,,
,,,,42,73.69,0.760976615233924,,
,,,,43,73.79,0.7549929568371453,,
,,,,44,74.14,0.7473239417845449,,
,,,,45,74.46,0.7472673917349916,,
,,,,46,74.23,0.7463323188285096,,
,,,,47,74.54,0.7418148474761853,,
,,,,48,74.51,0.7392117603899191,,
,,,,49,74.4,0.7368431412183438,,
,,,,50,,,,
