attack_type,class_imbalance,heterogeneity_kl,num_byzantine,rounds,test_accuracy,test_loss,train_accuracy,train_loss
random_noise,0.11601136470454662,0.5898461469260075,10,0,8.71,2.3101896637925705,,
,,,,0,16.23,3.0629716003283907,,
,,,,1,18.4,2.2849186411300026,,
,,,,2,21.83,2.2289833938732695,,
,,,,3,22.85,2.095918010218075,,
,,,,4,23.6,2.176524537439925,,
,,,,5,27.44,1.9237827515830628,,
,,,,6,25.52,1.983148400014201,,
,,,,7,24.17,2.1382782063164267,,
,,,,8,26.37,2.1323686979068355,,
,,,,9,25.42,2.019790947246856,,
,,,,10,22.75,2.0245079780919863,,
,,,,11,26.88,1.9053746111476764,,
,,,,12,28.01,1.912670196435703,,
,,,,13,23.04,2.119045516934258,,
,,,,14,28.52,1.9710026964211997,,
,,,,15,29.17,1.9342060409034023,,
,,,,16,26.34,1.9839332088494834,,
,,,,17,23.24,2.0347697517742365,,
,,,,18,22.66,2.163573702303365,,
,,,,19,28.03,1.9395199777980963,,
,,,,20,28.32,2.004759303677958,,
,,,,21,25.77,2.0236395551754645,,
,,,,22,27.38,1.9510599100551667,,
,,,,23,26.69,1.9501574306061473,,
,,,,24,22.92,2.003813360064936,,
,,,,25,26.09,1.9704999329563908,,
,,,,26,25.67,1.9618591599571058,,
,,,,27,26.98,1.9591071769452324,,
,,,,28,22.96,2.0228617621686893,,
,,,,29,26.07,2.0297124999018905,,
,,,,30,24.4,2.008593084713141,,
,,,,31,25.01,1.986372569879404,,
,,,,32,25.24,1.9813559748494207,,
,,,,33,25.55,1.9793018521592258,,
,,,,34,22.18,2.0280793749105435,,
,,,,35,27.69,1.943616166663246,,
,,,,36,23.49,2.06153744211593,,
,,,,37,29.54,1.901870734394549,,
,,,,38,27.94,2.010411263654788,,
,,,,39,20.19,2.064648024952069,,
,,,,40,24.11,2.004602770074107,,
,,,,41,25.34,2.080542025855555,,
,,,,42,21.04,2.0574973528377547,,
,,,,43,21.37,2.1031773692121902,,
,,,,44,22.86,2.1074420400320912,,
,,,,45,25.54,2.0093651366309997,,
,,,,46,22.4,2.0226443221393864,,
,,,,47,23.75,1.9787543387458728,,
,,,,48,22.83,2.083717552617716,,
,,,,49,22.63,2.0339653358672756,,
,,,,50,,,,
