attack_type,class_imbalance,heterogeneity_kl,num_byzantine,rounds,test_accuracy,test_loss,train_accuracy,train_loss
sign_flipping,0.11601136470454662,0.5898461469260075,10,0,10.03,2.3069543815649354,,
,,,,0,27.88,2.1581127323662512,,
,,,,1,37.82,1.914957890876185,,
,,,,2,41.25,1.73422570388538,,
,,,,3,43.58,1.606151060936169,,
,,,,4,44.99,1.534605972683087,,
,,,,5,46.69,1.481930402140267,,
,,,,6,48.0,1.438914976371363,,
,,,,7,49.12,1.402648881030159,,
,,,,8,50.15,1.3782161201912755,,
,,,,9,51.46,1.3416055004817609,,
,,,,10,52.45,1.3099555405564964,,
,,,,11,53.38,1.2711946154935672,,
,,,,12,54.74,1.2463558013446796,,
,,,,13,55.29,1.2272066995739557,,
,,,,14,56.46,1.1958690597988164,,
,,,,15,57.26,1.1804927370418756,,
,,,,16,57.87,1.1602026450748262,,
,,,,17,58.93,1.137072124801124,,
,,,,18,59.65,1.1208705871630782,,
,,,,19,59.84,1.108515431515325,,
,,,,20,60.04,1.0979177831841733,,
,,,,21,60.8,1.0909185883717034,,
,,,,22,61.26,1.075768979784018,,
,,,,23,61.65,1.0644289607438036,,
,,,,24,62.34,1.0484920721084545,,
,,,,25,62.94,1.0358875178681395,,
,,,,26,63.29,1.028585327319063,,
,,,,27,63.59,1.020383800751866,,
,,,,28,63.91,1.0146749274799238,,
,,,,29,64.36,1.0043546149905878,,
,,,,30,64.79,0.9969145031021045,,
,,,,31,65.1,0.9932883204743505,,
,,,,32,65.54,0.9794795503631567,,
,,,,33,65.36,0.9780492635961539,,
,,,,34,65.83,0.9752156900140805,,
,,,,35,66.04,0.9686247093228105,,
,,,,36,66.12,0.9626255180127323,,
,,,,37,66.3,0.9623102364829554,,
,,,,38,66.54,0.9538169978335261,,
,,,,39,66.8,0.9519821984318498,,
,,,,40,66.91,0.9476911623637897,,
,,,,41,66.95,0.9452429634694475,,
,,,,42,67.15,0.9395677678691693,,
,,,,43,67.53,0.9292357588728396,,
,,,,44,67.71,0.928777053238104,,
,,,,45,67.75,0.9265004732547858,,
,,,,46,67.94,0.9222526037083647,,
,,,,47,67.9,0.9170760782762838,,
,,,,48,68.38,0.914222348041047,,
,,,,49,68.15,0.9207594061431031,,
,,,,50,,,,
