attack_type,class_imbalance,heterogeneity_kl,num_byzantine,rounds,test_accuracy,test_loss,train_accuracy,train_loss
none,0.12341626522463485,0.6761164945818928,3,0,10.9,2.30676516557273,,
,,,,0,31.37,2.0563402160668907,,
,,,,1,46.15,1.4828937906807604,,
,,,,2,54.67,1.2461065385288324,,
,,,,3,58.57,1.136364526261156,,
,,,,4,61.23,1.0655674671593565,,
,,,,5,63.1,1.0110742576396503,,
,,,,6,65.57,0.9645715602480185,,
,,,,7,65.95,0.9473146898106645,,
,,,,8,67.78,0.9058705601638879,,
,,,,9,69.09,0.8701816579213919,,
,,,,10,69.05,0.8597825498055345,,
,,,,11,69.89,0.8412449375128213,,
,,,,12,70.24,0.835578235860069,,
,,,,13,71.22,0.808915415891824,,
,,,,14,71.32,0.8079871031613396,,
,,,,15,71.57,0.7982312418972722,,
,,,,16,72.01,0.7917164043306162,,
,,,,17,72.23,0.7857541013449526,,
,,,,18,72.94,0.7688948276896066,,
,,,,19,72.9,0.761811090639224,,
,,,,20,73.7,0.7520180800661873,,
,,,,21,74.11,0.7413801320444662,,
,,,,22,74.02,0.7439363109417998,,
,,,,23,74.48,0.7313407315804173,,
,,,,24,74.86,0.7263791103142138,,
,,,,25,74.73,0.7229556403221032,,
,,,,26,75.13,0.7231834032855475,,
,,,,27,75.26,0.713480071804394,,
,,,,28,75.29,0.7103539751931882,,
,,,,29,75.83,0.7025490381275884,,
,,,,30,75.43,0.702209654326637,,
,,,,31,75.84,0.6972565228184953,,
,,,,32,75.6,0.7033438041758614,,
,,,,33,76.13,0.6868379587373032,,
,,,,34,75.81,0.6966439612185993,,
,,,,35,76.52,0.685213044095344,,
,,,,36,76.7,0.6803440427342162,,
,,,,37,76.54,0.6815475718662761,,
,,,,38,76.43,0.6808359707696751,,
,,,,39,76.89,0.6733612265830604,,
,,,,40,76.55,0.6821218104408191,,
,,,,41,76.96,0.6708063405161848,,
,,,,42,76.64,0.6796689105871767,,
,,,,43,76.96,0.6695371243519525,,
,,,,44,77.28,0.6644876207025668,,
,,,,45,76.74,0.6739718547453896,,
,,,,46,77.3,0.6673239211495311,,
,,,,47,76.8,0.6740047467497591,,
,,,,48,76.9,0.6807859275287713,,
,,,,49,76.77,0.6694132692802447,,
,,,,50,,,,
