attack_type,class_imbalance,heterogeneity_kl,num_byzantine,rounds,test_accuracy,test_loss,train_accuracy,train_loss
random_noise,0.12341626522463485,0.6761164945818928,3,0,9.75,2.3014512336292205,,
,,,,0,10.45,12.029931598578017,,
,,,,1,11.17,2.703490255739742,,
,,,,2,11.82,4.582484778504783,,
,,,,3,11.97,2.8269655544536945,,
,,,,4,12.19,3.5891546349936783,,
,,,,5,9.89,3.040291198907188,,
,,,,6,11.26,2.5115414168507146,,
,,,,7,10.72,2.555608590951743,,
,,,,8,12.33,2.6834615899351077,,
,,,,9,9.72,2.387189368470408,,
,,,,10,11.53,2.4605445579979746,,
,,,,11,7.29,4.160365714813573,,
,,,,12,11.6,2.507719909040311,,
,,,,13,9.35,2.3632829265472606,,
,,,,14,10.19,2.4633902718845646,,
,,,,15,10.03,2.360817603790722,,
,,,,16,10.09,2.4385124311660427,,
,,,,17,9.92,2.404600318628378,,
,,,,18,10.05,2.3937452410737547,,
,,,,19,10.07,2.4635833726523404,,
,,,,20,9.43,3.4639593534195385,,
,,,,21,9.99,2.3569944978902897,,
,,,,22,9.94,2.3607431935807006,,
,,,,23,10.0,2.35958245844125,,
,,,,24,9.98,2.4008111237717893,,
,,,,25,10.01,2.390961394142419,,
,,,,26,10.06,2.427719950295104,,
,,,,27,10.0,2.3914919889773043,,
,,,,28,10.03,2.416884917420701,,
,,,,29,9.98,2.3641187680034212,,
,,,,30,9.98,2.4686330903452425,,
,,,,31,10.01,2.4704787319841475,,
,,,,32,9.77,2.4861778131308268,,
,,,,33,9.97,2.339564216784395,,
,,,,34,10.01,2.3476491903725525,,
,,,,35,10.0,2.447037283224039,,
,,,,36,10.0,2.3865948858352515,,
,,,,37,10.03,2.360121183121166,,
,,,,38,10.02,2.5105578000553117,,
,,,,39,10.0,2.326365451081492,,
,,,,40,10.0,2.405233720620981,,
,,,,41,10.0,2.3617541211100814,,
,,,,42,9.99,2.382185855231727,,
,,,,43,10.03,2.4554732935116315,,
,,,,44,10.0,2.429112681184714,,
,,,,45,9.97,2.5086617728772636,,
,,,,46,10.0,2.579097543661587,,
,,,,47,10.0,2.3870319421298967,,
,,,,48,9.99,2.4028406988698454,,
,,,,49,10.01,2.4952025603943357,,
,,,,50,,,,
