attack_type,class_imbalance,heterogeneity_kl,num_byzantine,rounds,test_accuracy,test_loss,train_accuracy,train_loss
sign_flipping,0.12341626522463485,0.6761164945818928,3,0,9.99,2.3077392844727247,,
,,,,0,35.13,2.121441600421747,,
,,,,1,42.44,1.7716247669804972,,
,,,,2,46.15,1.5136936236494265,,
,,,,3,48.64,1.3897160819163337,,
,,,,4,52.21,1.300714172303867,,
,,,,5,54.38,1.2568561286210251,,
,,,,6,56.33,1.2126310559126516,,
,,,,7,58.98,1.1673989147423935,,
,,,,8,60.36,1.1405164237601308,,
,,,,9,61.34,1.1200621440387761,,
,,,,10,62.15,1.1035916536760788,,
,,,,11,62.94,1.0832905043809178,,
,,,,12,64.25,1.0447720235909899,,
,,,,13,64.19,1.0375705224256546,,
,,,,14,64.84,1.0286656369606908,,
,,,,15,65.55,1.0092339742297944,,
,,,,16,66.31,0.9968858694497008,,
,,,,17,66.27,0.9950223125207919,,
,,,,18,66.77,0.9805030328587602,,
,,,,19,66.45,1.008675429862909,,
,,,,20,67.28,0.9793682897243255,,
,,,,21,67.06,0.9870331015068883,,
,,,,22,67.72,0.9763454544468048,,
,,,,23,68.16,0.964481347666,,
,,,,24,67.82,0.9761570192183169,,
,,,,25,68.61,0.9613239254814367,,
,,,,26,68.3,0.979180956039185,,
,,,,27,68.67,0.968287964217579,,
,,,,28,69.26,0.9542615168010846,,
,,,,29,68.98,0.957098931645433,,
,,,,30,68.92,0.9654461466275845,,
,,,,31,68.91,0.9844346721522724,,
,,,,32,69.09,0.9678300331575802,,
,,,,33,69.27,0.962093236442572,,
,,,,34,69.48,0.9654315141633677,,
,,,,35,69.61,0.9536073043133123,,
,,,,36,70.02,0.9516262552989557,,
,,,,37,69.89,0.9645686901796359,,
,,,,38,69.77,0.9633670711098388,,
,,,,39,69.94,0.9667128231197881,,
,,,,40,69.76,0.976006234606234,,
,,,,41,70.07,0.9932407450180846,,
,,,,42,69.67,1.0143037442201244,,
,,,,43,69.53,1.0063858143628215,,
,,,,44,70.12,0.9869418411780471,,
,,,,45,69.89,0.9968522840414565,,
,,,,46,70.43,0.9977809177896085,,
,,,,47,69.78,1.013150143880433,,
,,,,48,70.88,0.9641030258454454,,
,,,,49,70.31,0.9978746512827401,,
,,,,50,,,,
