attack_type,class_imbalance,heterogeneity_kl,num_byzantine,rounds,test_accuracy,test_loss,train_accuracy,train_loss
none,0.12341626522463485,0.6761164945818928,3,0,11.29,2.3037686759290605,,
,,,,0,20.9,2.1570336125529233,,
,,,,1,42.17,1.5687127208557372,,
,,,,2,49.27,1.3490293132611357,,
,,,,3,55.68,1.2035453614716332,,
,,,,4,57.57,1.1361147129116729,,
,,,,5,59.43,1.0821125791095698,,
,,,,6,62.32,1.0267058561404292,,
,,,,7,62.6,1.0160503010399424,,
,,,,8,64.34,0.9777772795087614,,
,,,,9,65.39,0.9514418632839434,,
,,,,10,66.05,0.9416692445453364,,
,,,,11,67.5,0.9074204037555109,,
,,,,12,67.22,0.9007562660752013,,
,,,,13,68.46,0.8738399493618133,,
,,,,14,69.27,0.8652319591075849,,
,,,,15,69.21,0.8589549290295988,,
,,,,16,70.68,0.8267767915900904,,
,,,,17,69.99,0.837898713331253,,
,,,,18,71.28,0.8061599505785555,,
,,,,19,71.58,0.8013461753011892,,
,,,,20,71.63,0.8023581085875392,,
,,,,21,72.67,0.7788280112484393,,
,,,,22,73.06,0.769436092136767,,
,,,,23,72.21,0.7818483006649505,,
,,,,24,72.7,0.7751903964307743,,
,,,,25,73.05,0.765889013822848,,
,,,,26,72.13,0.7809404293759562,,
,,,,27,73.46,0.7589783150071915,,
,,,,28,73.54,0.7540052735957855,,
,,,,29,74.06,0.7397941714182449,,
,,,,30,73.51,0.7564534394504925,,
,,,,31,74.25,0.7335735064821122,,
,,,,32,74.13,0.7366778588237853,,
,,,,33,74.11,0.7368088418873735,,
,,,,34,74.44,0.7280985209793328,,
,,,,35,74.51,0.7271951235140475,,
,,,,36,74.17,0.7313599816431253,,
,,,,37,74.51,0.729050196159762,,
,,,,38,74.64,0.7225850565364947,,
,,,,39,74.91,0.7118464754507564,,
,,,,40,74.94,0.7168341835562032,,
,,,,41,75.24,0.7054112608345172,,
,,,,42,74.87,0.714600307444414,,
,,,,43,75.26,0.7085686109888668,,
,,,,44,75.63,0.700541532220551,,
,,,,45,75.34,0.6988156064154621,,
,,,,46,75.61,0.7013104887911306,,
,,,,47,75.83,0.6997863563676231,,
,,,,48,75.71,0.6988148171776019,,
,,,,49,75.17,0.7060704945851439,,
,,,,50,,,,
