attack_type,class_imbalance,heterogeneity_kl,num_byzantine,rounds,test_accuracy,test_loss,train_accuracy,train_loss
random_noise,0.12341626522463485,0.6761164945818928,3,0,10.41,2.310771660302013,,
,,,,0,27.97,2.164468584730983,,
,,,,1,43.35,1.5464935698829139,,
,,,,2,48.38,1.351511457476753,,
,,,,3,53.49,1.2274347800797167,,
,,,,4,57.39,1.1413245528650742,,
,,,,5,60.19,1.0850473057728607,,
,,,,6,60.96,1.0598906467136102,,
,,,,7,63.97,1.002847105740739,,
,,,,8,65.32,0.9571015953827209,,
,,,,9,65.05,0.9601859775023719,,
,,,,10,65.57,0.9456580933480979,,
,,,,11,66.88,0.9171252532508045,,
,,,,12,68.11,0.8989607289957162,,
,,,,13,68.41,0.8762798554981097,,
,,,,14,68.68,0.8703179967860444,,
,,,,15,69.04,0.8706858171441685,,
,,,,16,69.55,0.8560455718550819,,
,,,,17,69.51,0.8560941855366618,,
,,,,18,69.75,0.8588780702683873,,
,,,,19,70.57,0.8308603766436775,,
,,,,20,70.9,0.8238806732165547,,
,,,,21,70.53,0.8334416151998904,,
,,,,22,71.53,0.8061743729030744,,
,,,,23,71.78,0.7991222257431323,,
,,,,24,71.6,0.8072042608984743,,
,,,,25,71.6,0.8087873708325833,,
,,,,26,72.57,0.7903227291929836,,
,,,,27,72.05,0.8004679470397413,,
,,,,28,72.46,0.7897414901671699,,
,,,,29,72.68,0.7809911244117413,,
,,,,30,72.55,0.78939259471223,,
,,,,31,72.68,0.7798156248875701,,
,,,,32,72.88,0.787218056547756,,
,,,,33,72.94,0.7816572434033829,,
,,,,34,73.11,0.7685740393000289,,
,,,,35,73.58,0.76347993628476,,
,,,,36,73.77,0.7560135686930757,,
,,,,37,74.32,0.7496902565129648,,
,,,,38,73.65,0.7607679677466614,,
,,,,39,73.4,0.7673864813087086,,
,,,,40,73.91,0.7658565390033844,,
,,,,41,73.71,0.7607566968511088,,
,,,,42,74.44,0.7517195036426519,,
,,,,43,73.89,0.7676172061754872,,
,,,,44,74.03,0.7604600589115399,,
,,,,45,74.69,0.7543536809305794,,
,,,,46,74.89,0.749673892229129,,
,,,,47,75.41,0.7318328375252672,,
,,,,48,74.98,0.7511715755199853,,
,,,,49,75.07,0.7438748686934431,,
,,,,50,,,,
