attack_type,class_imbalance,heterogeneity_kl,num_byzantine,rounds,test_accuracy,test_loss,train_accuracy,train_loss
sign_flipping,0.12341626522463485,0.6761164945818928,3,0,8.68,2.305044785856058,,
,,,,0,20.09,2.2399736608560095,,
,,,,1,35.93,1.806281778759088,,
,,,,2,43.67,1.5303769222082801,,
,,,,3,49.16,1.379590700038325,,
,,,,4,51.0,1.327244201407265,,
,,,,5,53.45,1.2819306039200804,,
,,,,6,55.89,1.2312757542338997,,
,,,,7,57.03,1.218209762161913,,
,,,,8,58.43,1.1936254202367398,,
,,,,9,59.67,1.161935427508796,,
,,,,10,59.47,1.1652984912403095,,
,,,,11,60.7,1.1370856402019343,,
,,,,12,61.6,1.1182291317290771,,
,,,,13,62.0,1.11376238192994,,
,,,,14,63.16,1.083329001745096,,
,,,,15,62.9,1.0840082115258654,,
,,,,16,63.52,1.0694359733273808,,
,,,,17,63.78,1.079633766279434,,
,,,,18,64.55,1.061254714148494,,
,,,,19,64.73,1.052978256639962,,
,,,,20,65.36,1.0381603966505764,,
,,,,21,65.41,1.0315926029278448,,
,,,,22,65.59,1.026927137241577,,
,,,,23,65.86,1.0228951485774007,,
,,,,24,65.76,1.0222292184448851,,
,,,,25,67.09,1.0028929299059006,,
,,,,26,66.49,1.020671424488671,,
,,,,27,66.29,1.0463227741063212,,
,,,,28,66.14,1.0650716278309258,,
,,,,29,66.14,1.0634364584764353,,
,,,,30,66.58,1.0523502558184128,,
,,,,31,66.94,1.0266967972817893,,
,,,,32,68.0,1.0090366129677135,,
,,,,33,67.71,1.0248011637229126,,
,,,,34,67.45,1.0278818982477766,,
,,,,35,67.68,1.0244098813198625,,
,,,,36,67.61,1.0449527970518167,,
,,,,37,68.4,1.0331203002518359,,
,,,,38,68.24,1.0404972358823965,,
,,,,39,68.07,1.0315443677262377,,
,,,,40,67.8,1.026679716075952,,
,,,,41,68.31,1.0320779499344932,,
,,,,42,68.11,1.037292122364806,,
,,,,43,67.79,1.0694613440539509,,
,,,,44,68.24,1.039930757527915,,
,,,,45,68.63,1.032381691205235,,
,,,,46,68.65,1.0389807676545346,,
,,,,47,68.86,1.0047105186092207,,
,,,,48,69.02,1.0302820684620366,,
,,,,49,69.39,1.0199710944780527,,
,,,,50,,,,
