attack_type,class_imbalance,heterogeneity_kl,num_byzantine,rounds,test_accuracy,test_loss,train_accuracy,train_loss
random_noise,0.12341626522463485,0.6761164945818928,3,0,8.86,2.301384863381188,,
,,,,0,8.86,2.301384863381188,,
,,,,1,8.86,2.301384863381188,,
,,,,2,8.86,2.301384863381188,,
,,,,3,8.86,2.301384863381188,,
,,,,4,8.86,2.301384863381188,,
,,,,5,8.86,2.301384863381188,,
,,,,6,8.86,2.301384863381188,,
,,,,7,8.86,2.301384863381188,,
,,,,8,8.86,2.301384863381188,,
,,,,9,8.86,2.301384863381188,,
,,,,10,8.86,2.301384863381188,,
,,,,11,8.86,2.301384863381188,,
,,,,12,8.86,2.301384863381188,,
,,,,13,8.86,2.301384863381188,,
,,,,14,8.86,2.301384863381188,,
,,,,15,8.86,2.301384863381188,,
,,,,16,8.86,2.301384863381188,,
,,,,17,8.86,2.301384863381188,,
,,,,18,8.86,2.301384863381188,,
,,,,19,8.86,2.301384863381188,,
,,,,20,8.86,2.301384863381188,,
,,,,21,8.86,2.301384863381188,,
,,,,22,8.86,2.301384863381188,,
,,,,23,8.86,2.301384863381188,,
,,,,24,8.86,2.301384863381188,,
,,,,25,8.86,2.301384863381188,,
,,,,26,8.86,2.301384863381188,,
,,,,27,8.86,2.301384863381188,,
,,,,28,8.86,2.301384863381188,,
,,,,29,8.86,2.301384863381188,,
,,,,30,8.86,2.301384863381188,,
,,,,31,8.86,2.301384863381188,,
,,,,32,8.86,2.301384863381188,,
,,,,33,8.86,2.301384863381188,,
,,,,34,8.86,2.301384863381188,,
,,,,35,8.86,2.301384863381188,,
,,,,36,8.86,2.301384863381188,,
,,,,37,8.86,2.301384863381188,,
,,,,38,8.86,2.301384863381188,,
,,,,39,8.86,2.301384863381188,,
,,,,40,8.86,2.301384863381188,,
,,,,41,8.86,2.301384863381188,,
,,,,42,8.86,2.301384863381188,,
,,,,43,8.86,2.301384863381188,,
,,,,44,8.86,2.301384863381188,,
,,,,45,8.86,2.301384863381188,,
,,,,46,8.86,2.301384863381188,,
,,,,47,8.86,2.301384863381188,,
,,,,48,8.86,2.301384863381188,,
,,,,49,8.86,2.301384863381188,,
,,,,50,,,,
