attack_type,class_imbalance,heterogeneity_kl,num_byzantine,rounds,test_accuracy,test_loss,train_accuracy,train_loss
sign_flipping,0.12341626522463485,0.6761164945818928,3,0,10.76,2.308362572337873,,
,,,,0,10.76,2.308362572337873,,
,,,,1,10.76,2.308362572337873,,
,,,,2,10.76,2.308362572337873,,
,,,,3,10.76,2.308362572337873,,
,,,,4,10.76,2.308362572337873,,
,,,,5,10.76,2.308362572337873,,
,,,,6,10.76,2.308362572337873,,
,,,,7,10.76,2.308362572337873,,
,,,,8,10.76,2.308362572337873,,
,,,,9,10.76,2.308362572337873,,
,,,,10,10.76,2.308362572337873,,
,,,,11,10.76,2.308362572337873,,
,,,,12,10.76,2.308362572337873,,
,,,,13,10.76,2.308362572337873,,
,,,,14,10.76,2.308362572337873,,
,,,,15,10.76,2.308362572337873,,
,,,,16,10.76,2.308362572337873,,
,,,,17,10.76,2.308362572337873,,
,,,,18,10.76,2.308362572337873,,
,,,,19,10.76,2.308362572337873,,
,,,,20,10.76,2.308362572337873,,
,,,,21,10.76,2.308362572337873,,
,,,,22,10.76,2.308362572337873,,
,,,,23,10.76,2.308362572337873,,
,,,,24,10.76,2.308362572337873,,
,,,,25,10.76,2.308362572337873,,
,,,,26,10.76,2.308362572337873,,
,,,,27,10.76,2.308362572337873,,
,,,,28,10.76,2.308362572337873,,
,,,,29,10.76,2.308362572337873,,
,,,,30,10.76,2.308362572337873,,
,,,,31,10.76,2.308362572337873,,
,,,,32,10.76,2.308362572337873,,
,,,,33,10.76,2.308362572337873,,
,,,,34,10.76,2.308362572337873,,
,,,,35,10.76,2.308362572337873,,
,,,,36,10.76,2.308362572337873,,
,,,,37,10.76,2.308362572337873,,
,,,,38,10.76,2.308362572337873,,
,,,,39,10.76,2.308362572337873,,
,,,,40,10.76,2.308362572337873,,
,,,,41,10.76,2.308362572337873,,
,,,,42,10.76,2.308362572337873,,
,,,,43,10.76,2.308362572337873,,
,,,,44,10.76,2.308362572337873,,
,,,,45,10.76,2.308362572337873,,
,,,,46,10.76,2.308362572337873,,
,,,,47,10.76,2.308362572337873,,
,,,,48,10.76,2.308362572337873,,
,,,,49,10.76,2.308362572337873,,
,,,,50,,,,
