attack_type,class_imbalance,heterogeneity_kl,num_byzantine,rounds,test_accuracy,test_loss,train_accuracy,train_loss
none,0.12341626522463485,0.6761164945818928,3,0,10.18,2.301240105979359,,
,,,,0,10.18,2.301240105979359,,
,,,,1,10.18,2.301240105979359,,
,,,,2,10.18,2.301240105979359,,
,,,,3,10.18,2.301240105979359,,
,,,,4,10.18,2.301240105979359,,
,,,,5,10.18,2.301240105979359,,
,,,,6,10.18,2.301240105979359,,
,,,,7,10.18,2.301240105979359,,
,,,,8,10.18,2.301240105979359,,
,,,,9,10.18,2.301240105979359,,
,,,,10,10.18,2.301240105979359,,
,,,,11,10.18,2.301240105979359,,
,,,,12,10.18,2.301240105979359,,
,,,,13,10.18,2.301240105979359,,
,,,,14,10.18,2.301240105979359,,
,,,,15,10.18,2.301240105979359,,
,,,,16,10.18,2.301240105979359,,
,,,,17,10.18,2.301240105979359,,
,,,,18,10.18,2.301240105979359,,
,,,,19,10.18,2.301240105979359,,
,,,,20,10.18,2.301240105979359,,
,,,,21,10.18,2.301240105979359,,
,,,,22,10.18,2.301240105979359,,
,,,,23,10.18,2.301240105979359,,
,,,,24,10.18,2.301240105979359,,
,,,,25,10.18,2.301240105979359,,
,,,,26,10.18,2.301240105979359,,
,,,,27,10.18,2.301240105979359,,
,,,,28,10.18,2.301240105979359,,
,,,,29,10.18,2.301240105979359,,
,,,,30,10.18,2.301240105979359,,
,,,,31,10.18,2.301240105979359,,
,,,,32,10.18,2.301240105979359,,
,,,,33,10.18,2.301240105979359,,
,,,,34,10.18,2.301240105979359,,
,,,,35,10.18,2.301240105979359,,
,,,,36,10.18,2.301240105979359,,
,,,,37,10.18,2.301240105979359,,
,,,,38,10.18,2.301240105979359,,
,,,,39,10.18,2.301240105979359,,
,,,,40,10.18,2.301240105979359,,
,,,,41,10.18,2.301240105979359,,
,,,,42,10.18,2.301240105979359,,
,,,,43,10.18,2.301240105979359,,
,,,,44,10.18,2.301240105979359,,
,,,,45,10.18,2.301240105979359,,
,,,,46,10.18,2.301240105979359,,
,,,,47,10.18,2.301240105979359,,
,,,,48,10.18,2.301240105979359,,
,,,,49,10.18,2.301240105979359,,
,,,,50,,,,
