attack_type,class_imbalance,heterogeneity_kl,num_byzantine,rounds,test_accuracy,test_loss,train_accuracy,train_loss
random_noise,0.12341626522463485,0.6761164945818928,3,0,10.77,2.3057928214819667,,
,,,,0,10.77,2.3057928214819667,,
,,,,1,10.77,2.3057928214819667,,
,,,,2,10.77,2.3057928214819667,,
,,,,3,10.77,2.3057928214819667,,
,,,,4,10.77,2.3057928214819667,,
,,,,5,10.77,2.3057928214819667,,
,,,,6,10.77,2.3057928214819667,,
,,,,7,10.77,2.3057928214819667,,
,,,,8,10.77,2.3057928214819667,,
,,,,9,10.77,2.3057928214819667,,
,,,,10,10.77,2.3057928214819667,,
,,,,11,10.77,2.3057928214819667,,
,,,,12,10.77,2.3057928214819667,,
,,,,13,10.77,2.3057928214819667,,
,,,,14,10.77,2.3057928214819667,,
,,,,15,10.77,2.3057928214819667,,
,,,,16,10.77,2.3057928214819667,,
,,,,17,10.77,2.3057928214819667,,
,,,,18,10.77,2.3057928214819667,,
,,,,19,10.77,2.3057928214819667,,
,,,,20,10.77,2.3057928214819667,,
,,,,21,10.77,2.3057928214819667,,
,,,,22,10.77,2.3057928214819667,,
,,,,23,10.77,2.3057928214819667,,
,,,,24,10.77,2.3057928214819667,,
,,,,25,10.77,2.3057928214819667,,
,,,,26,10.77,2.3057928214819667,,
,,,,27,10.77,2.3057928214819667,,
,,,,28,10.77,2.3057928214819667,,
,,,,29,10.77,2.3057928214819667,,
,,,,30,10.77,2.3057928214819667,,
,,,,31,10.77,2.3057928214819667,,
,,,,32,10.77,2.3057928214819667,,
,,,,33,10.77,2.3057928214819667,,
,,,,34,10.77,2.3057928214819667,,
,,,,35,10.77,2.3057928214819667,,
,,,,36,10.77,2.3057928214819667,,
,,,,37,10.77,2.3057928214819667,,
,,,,38,10.77,2.3057928214819667,,
,,,,39,10.77,2.3057928214819667,,
,,,,40,10.77,2.3057928214819667,,
,,,,41,10.77,2.3057928214819667,,
,,,,42,10.77,2.3057928214819667,,
,,,,43,10.77,2.3057928214819667,,
,,,,44,10.77,2.3057928214819667,,
,,,,45,10.77,2.3057928214819667,,
,,,,46,10.77,2.3057928214819667,,
,,,,47,10.77,2.3057928214819667,,
,,,,48,10.77,2.3057928214819667,,
,,,,49,10.77,2.3057928214819667,,
,,,,50,,,,
