attack_type,class_imbalance,heterogeneity_kl,num_byzantine,rounds,test_accuracy,test_loss,train_accuracy,train_loss
sign_flipping,0.12341626522463485,0.6761164945818928,3,0,11.89,2.3051077580680484,,
,,,,0,11.89,2.3051077580680484,,
,,,,1,11.89,2.3051077580680484,,
,,,,2,11.89,2.3051077580680484,,
,,,,3,11.89,2.3051077580680484,,
,,,,4,11.89,2.3051077580680484,,
,,,,5,11.89,2.3051077580680484,,
,,,,6,11.89,2.3051077580680484,,
,,,,7,11.89,2.3051077580680484,,
,,,,8,11.89,2.3051077580680484,,
,,,,9,11.89,2.3051077580680484,,
,,,,10,11.89,2.3051077580680484,,
,,,,11,11.89,2.3051077580680484,,
,,,,12,11.89,2.3051077580680484,,
,,,,13,11.89,2.3051077580680484,,
,,,,14,11.89,2.3051077580680484,,
,,,,15,11.89,2.3051077580680484,,
,,,,16,11.89,2.3051077580680484,,
,,,,17,11.89,2.3051077580680484,,
,,,,18,11.89,2.3051077580680484,,
,,,,19,11.89,2.3051077580680484,,
,,,,20,11.89,2.3051077580680484,,
,,,,21,11.89,2.3051077580680484,,
,,,,22,11.89,2.3051077580680484,,
,,,,23,11.89,2.3051077580680484,,
,,,,24,11.89,2.3051077580680484,,
,,,,25,11.89,2.3051077580680484,,
,,,,26,11.89,2.3051077580680484,,
,,,,27,11.89,2.3051077580680484,,
,,,,28,11.89,2.3051077580680484,,
,,,,29,11.89,2.3051077580680484,,
,,,,30,11.89,2.3051077580680484,,
,,,,31,11.89,2.3051077580680484,,
,,,,32,11.89,2.3051077580680484,,
,,,,33,11.89,2.3051077580680484,,
,,,,34,11.89,2.3051077580680484,,
,,,,35,11.89,2.3051077580680484,,
,,,,36,11.89,2.3051077580680484,,
,,,,37,11.89,2.3051077580680484,,
,,,,38,11.89,2.3051077580680484,,
,,,,39,11.89,2.3051077580680484,,
,,,,40,11.89,2.3051077580680484,,
,,,,41,11.89,2.3051077580680484,,
,,,,42,11.89,2.3051077580680484,,
,,,,43,11.89,2.3051077580680484,,
,,,,44,11.89,2.3051077580680484,,
,,,,45,11.89,2.3051077580680484,,
,,,,46,11.89,2.3051077580680484,,
,,,,47,11.89,2.3051077580680484,,
,,,,48,11.89,2.3051077580680484,,
,,,,49,11.89,2.3051077580680484,,
,,,,50,,,,
