rounds,test_accuracy,test_loss,train_accuracy,train_loss
0,12.13,2.300484750217523,,
1,10.0,2.2998356065049337,,
2,28.18,2.1876745597242166,,
3,39.07,1.988346369121783,,
4,43.71,1.8081825895431323,,
5,46.99,1.6719248230084063,,
6,49.36,1.5881845254105882,,
7,51.12,1.538503946206821,,
8,53.08,1.4891149624468039,,
9,54.58,1.4441318016844436,,
10,55.1,1.4244443848491095,,
11,56.49,1.3873133008091594,,
12,57.25,1.3466459588882642,,
13,57.25,1.3434769855901456,,
14,58.15,1.3335782883647151,,
15,58.32,1.317805588435822,,
16,59.28,1.282825936715062,,
17,59.69,1.2719332773845418,,
18,60.23,1.26059611213093,,
19,59.81,1.2647506409940628,,
20,60.32,1.2412913934872174,,
21,60.49,1.2425516085883679,,
22,60.61,1.2349475243221075,,
23,61.71,1.2117623751536726,,
24,61.56,1.2082940275295855,,
25,61.79,1.215814655200361,,
26,61.55,1.2104920404025923,,
27,61.12,1.2125785135613463,,
28,61.23,1.2007695150832398,,
29,61.78,1.190772773739629,,
30,62.05,1.1752084904966262,,
31,61.92,1.1806031509329336,,
32,62.16,1.1750150414320608,,
33,62.16,1.1770841153665854,,
34,62.24,1.1745444726639283,,
35,62.64,1.1769531984298756,,
36,63.11,1.159649690690513,,
37,62.87,1.1547714064296442,,
38,62.95,1.1490220139963558,,
39,62.65,1.1506320761796385,,
40,62.7,1.1401478749113723,,
41,62.86,1.1420245100134097,,
42,63.14,1.1329121503967066,,
43,62.68,1.1421267167447855,,
44,62.85,1.1348196972673312,,
45,62.84,1.1394991082505297,,
46,62.97,1.1309467308437482,,
47,62.74,1.1367307147278953,,
48,62.42,1.1302313130503645,,
49,63.14,1.1218265860606307,,
50,63.34,1.1277410064261562,,
