rounds,test_accuracy,test_loss,train_accuracy,train_loss
0,9.2,2.3091235572156816,,
1,35.06,2.0482422357169203,,
2,49.01,1.51993050857093,,
3,53.27,1.3297769973834102,,
4,57.17,1.2124519310058497,,
5,60.63,1.1265538829964952,,
6,62.25,1.0652856676342388,,
7,64.5,1.0180917970669536,,
8,66.15,0.9843728327141783,,
9,67.15,0.955181362529913,,
10,68.47,0.9227587613053977,,
11,68.95,0.9092821909215885,,
12,69.57,0.8860676113408975,,
13,70.03,0.8694608072503306,,
14,70.77,0.8525169317524273,,
15,71.19,0.8351158394028966,,
16,71.49,0.8212663576054496,,
17,72.06,0.8083823366096606,,
18,72.62,0.7946133355553539,,
19,72.94,0.7874183736670132,,
20,72.71,0.7871742903614958,,
21,73.36,0.7742221503021618,,
22,73.69,0.765780189642891,,
23,74.49,0.7535954576711685,,
24,74.79,0.7418882911578535,,
25,74.59,0.7439930434234607,,
26,75.29,0.7308082688159455,,
27,75.42,0.7249910774322363,,
28,75.54,0.7186971481044453,,
29,75.67,0.7175681798602827,,
30,76.07,0.7081106345112712,,
31,76.29,0.7045825995957128,,
32,76.52,0.7013497940077188,,
33,76.38,0.7024944013300033,,
34,76.27,0.6997881544093354,,
35,76.76,0.6942490283102273,,
36,76.47,0.6908576825556283,,
37,76.85,0.6881473329596626,,
38,77.26,0.6799993445507635,,
39,77.04,0.6827056463153217,,
40,77.08,0.6806985732084646,,
41,77.18,0.673769539775559,,
42,77.09,0.6781346382805333,,
43,77.16,0.673260649267477,,
44,77.34,0.6695133062025991,,
45,77.81,0.6616176886680408,,
46,77.69,0.6607852199207098,,
47,77.63,0.6623119408139786,,
48,77.74,0.6558235741842288,,
49,77.59,0.6589804660207548,,
50,77.98,0.6535704643391191,,
