rounds,test_accuracy,test_loss,train_accuracy,train_loss
0,9.68,2.3081456312356283,,
1,11.39,6.40804205458766,,
2,11.39,2.493938404912004,,
3,13.06,2.412870454712036,,
4,14.8,2.5468898527919293,,
5,16.07,2.4772743428477084,,
6,12.08,2.511424824833489,,
7,13.78,2.7473532239469094,,
8,8.95,2.428925302462837,,
9,10.44,2.665193514321178,,
10,10.6,2.4573229219966803,,
11,9.71,2.464904307557371,,
12,10.34,2.509077754645302,,
13,9.78,2.879630427771864,,
14,9.79,2.375896813389592,,
15,9.83,2.413090858977443,,
16,9.6,2.3731795477029234,,
17,10.01,2.3960019704252007,,
18,10.12,2.342099803705185,,
19,10.01,2.380844203808818,,
20,9.97,2.3519785091899834,,
21,9.66,2.465443353683423,,
22,10.04,2.389453182586085,,
23,9.96,2.387418922144003,,
24,9.57,2.401032844671426,,
25,10.05,2.3621894536307826,,
26,9.98,2.3556093156528166,,
27,9.97,2.366686957331892,,
28,10.0,2.4419582316669795,,
29,10.01,2.3521825010403274,,
30,9.95,2.377465830824246,,
31,10.01,2.351935401892129,,
32,9.98,2.355182135828768,,
33,10.02,2.3698408824567214,,
34,9.96,2.3421345000830702,,
35,10.0,2.3514931552326335,,
36,10.01,2.3813789545918427,,
37,9.99,2.3942708984350625,,
38,10.02,2.45137764699162,,
39,10.0,2.356434940910949,,
40,10.01,2.363051567595607,,
41,9.98,2.4164497471465087,,
42,10.0,2.326142652347065,,
43,10.0,2.3468624867570287,,
44,10.01,2.3611530236923657,,
45,10.0,2.3258494515769397,,
46,10.01,2.334239260457194,,
47,10.0,2.417508171008418,,
48,10.0,2.322426739592141,,
49,10.0,2.361741316585114,,
50,10.01,2.325384319019013,,
