rounds,test_accuracy,test_loss,train_accuracy,train_loss
0,10.11,2.310339587184187,,
1,32.51,2.1579219015261617,,
2,45.16,1.787035101137984,,
3,48.96,1.53235086351157,,
4,51.95,1.3935939591532698,,
5,54.16,1.2968075999055808,,
6,56.41,1.2298958985188517,,
7,57.81,1.1886357171847797,,
8,59.37,1.1409066641292633,,
9,60.08,1.117880341153556,,
10,61.4,1.0827605526287334,,
11,62.12,1.0613602529318569,,
12,63.29,1.0377553691879249,,
13,64.36,1.0126136520419258,,
14,65.59,0.9859259728425608,,
15,65.62,0.9761852298300868,,
16,66.03,0.9684742719601518,,
17,66.55,0.9586081150621651,,
18,66.86,0.9519686607507091,,
19,66.92,0.9507764010383679,,
20,67.63,0.9347865664349577,,
21,67.89,0.9308352773181927,,
22,67.83,0.9276920093324619,,
23,68.41,0.9161953758507871,,
24,68.98,0.9028128265572813,,
25,68.85,0.8977628468324582,,
26,69.27,0.8920785816142354,,
27,69.65,0.8835980214249973,,
28,69.78,0.8805489016417116,,
29,70.3,0.8727032036636584,,
30,70.29,0.8720494732498741,,
31,70.78,0.860624322876001,,
32,70.66,0.860580789776275,,
33,70.94,0.8567624676722688,,
34,71.09,0.8542274157650555,,
35,71.25,0.8491052029231867,,
36,71.36,0.8522664240945261,,
37,71.22,0.8503136912854715,,
38,71.69,0.844060196568029,,
39,71.62,0.8405922199019228,,
40,71.42,0.8486782638028788,,
41,71.75,0.8414287349096121,,
42,71.66,0.8460231863271696,,
43,71.83,0.8387870214427241,,
44,71.86,0.8453499010195747,,
45,72.09,0.8354933604645652,,
46,72.22,0.8372760923525777,,
47,72.15,0.8361623940376428,,
48,71.72,0.8474998543628107,,
49,72.13,0.8406961510737483,,
50,72.05,0.8432917439709076,,
